Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Afghanistan,AFG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.478,7.395,7.331,7.077,7.027,6.981,6.791,7.113,7.344,..
Afghanistan,AFG,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD,11680274.6,21248292.7,27416416.2,30269882.9,30597878.7,32675060.7,32780041.6,28700402.1,19234000,12017000
Afghanistan,AFG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..,..,..,..,..,..,..,10.42081714,14.3421528,..
Afghanistan,AFG,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,1383201806,1985366663,1417300546,1136013206,1152896050,1609472021,1515758749,1476305961,..,..
Afghanistan,AFG,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.00266707,-9.34E-05,0.011304631,0.077310687,0.060046188,0.21494058,0.140009705,0.18655347,0.215827015,..
Afghanistan,AFG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,0.239801183,0.209664794,0.884000459,0.516606084,0.274796791,0.661572216,0.124495986,0.064993957,0.144401058,..
Afghanistan,AFG,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-47774027.01,-42994416.21,-166983554.9,-79585268.75,-40273161,-80631404.07,2916492.929,24258330.11,..,..
Afghanistan,AFG,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,537318.9904,-19153.71072,2163053.088,14006046.55,11260735.76,38803701.64,26321046.58,37228478.1,30790959.9,..
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.002522145,-0.964803329,-1.666416415,-0.345802497,-0.253593782,-1.688576593,0.932833389,-5.364665931,-22.96694199,..
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,638.7331848,626.5129305,566.8811327,523.0530121,526.1408013,492.0906323,497.7414293,512.0550982,355.7778264,..
